,lemma,0,1,?,-
0,Nõugaste,0,1,0,0
1,turbaauk,0,1,0,0
2,lillepaviljon,0,1,0,0
3,transpordikomisjon,1,0,0,0
4,turismihooaeg,1,0,0,0
5,tsiviilvorm,1,0,0,0
6,villipubi,0,1,0,0
7,Svalbard,0,1,0,0
8,proua,1,0,0,0
9,rumm,1,0,0,0
10,aedik,0,1,0,0
11,sekretär,1,0,0,0
12,toosama,1,0,0,0
13,veevärk,1,0,0,0
14,ranne,1,0,0,0
15,kiire,1,0,0,0
16,luukontroll,1,0,0,0
17,kalastusvöönd,0,1,0,0
18,ristilöömine,1,0,0,0
19,ravikindlustusnõukogu,1,0,0,0
20,keep,1,0,0,0
21,Lembit,1,0,0,0
22,revüüteater,0,1,0,0
23,fonoteek,1,0,0,0
24,Varasem,1,0,0,0
25,KaksPoissiTallinn,0,0,0,1
26,arhitektuuriinstituut,0,0,1,0
27,inlite,0,0,0,1
28,vangistusülem,1,0,0,0
29,uhu,0,0,0,1
30,advokaadibüroo,0,0,1,0
31,masšuud,0,0,0,1
32,töökäsi,1,0,0,0
33,puiatu,0,1,0,0
34,Sopot,0,1,0,0
35,P70,0,0,0,1
36,7000rpm,0,0,0,1
37,nägemiskontroll,1,0,0,0
38,Hebroni,0,1,0,0
39,dopinguäri,1,0,0,0
40,potilill,0,1,0,0
41,shamaanipaar,1,0,0,0
42,aastapäevanäitus,1,0,0,0
43,kaitsepolitseiamet,1,0,0,0
44,telefoniputka,0,1,0,0
45,jooksutund,1,0,0,0
46,õhtune,1,0,0,0
47,stamp,1,0,0,0
48,mudel,1,0,0,0
49,kurus,0,1,0,0
50,ribi,1,0,0,0
51,Darwin,1,0,0,0
52,ususeminar,1,0,0,0
53,modelliamet,1,0,0,0
54,maailm,0,1,0,0
55,kalarand,0,1,0,0
56,soomaa,0,1,0,0
57,lumelaud,0,1,0,0
58,papademo,0,0,0,1
59,luure,1,0,0,0
60,veefestival,1,0,0,0
61,taimima,1,0,0,0
62,alavesi,1,0,0,0
63,järgmine,1,0,0,0
64,VAAP,0,0,0,1
65,metsasügavus,0,1,0,0
66,läbiotsimine,1,0,0,0
67,ametitool,1,0,0,0
68,kaVenemaa,0,0,0,1
69,Nagano-võistkond,1,0,0,0
70,kohtla-järv,0,1,0,0
71,missugune,1,0,0,0
72,latter,0,1,0,0
73,finantseerimine,1,0,0,0
74,kabinetiistung,1,0,0,0
75,näevi,0,0,0,1
76,läbirääkimi,0,0,0,1
77,leivatootmine,1,0,0,0
78,kruupink,0,1,0,0
79,Kansas,0,1,0,0
80,sünd,1,0,0,0
81,valitsemiskuu,1,0,0,0
82,teoloogiaseminar,1,0,0,0
83,härrasrahvas,1,0,0,0
84,soosaar,0,1,0,0
85,parlament,1,0,0,0
86,kilja,0,0,0,1
87,pasteerim,0,0,0,1
88,kassaruum,0,1,0,0
89,Firenighti,0,0,0,1
90,ravimine,1,0,0,0
91,linnarahvas,1,0,0,0
92,videomakk,0,1,0,0
93,messikeskus,0,1,0,0
94,puue,1,0,0,0
95,kukke,1,0,0,0
96,taevaskoda,0,1,0,0
97,modem,0,1,0,0
98,ID,0,0,0,1
99,tuur,1,0,0,0
100,põhivorm,1,0,0,0
101,peasaal,0,1,0,0
102,zoloogia,1,0,0,0
103,biokeskus,0,1,0,0
104,sõjaretk,1,0,0,0
105,ravivõimlem,0,0,0,1
106,kuulirahe,1,0,0,0
107,muuseumiöö,1,0,0,0
108,jääpank,0,1,0,0
109,Williams,1,0,0,0
110,taastamine,1,0,0,0
111,element,1,0,0,0
112,vaegarenguala,0,1,0,0
113,lihas,1,0,0,0
114,spagaat,1,0,0,0
115,politseiaed,0,1,0,0
116,tlns,0,0,0,1
117,heliagedus,0,0,0,1
118,vokaalstuudio,1,0,0,0
119,võõrusetendus,1,0,0,0
120,arvutimonitor,0,1,0,0
121,ootepink,0,1,0,0
122,mihklikuu,1,0,0,0
123,moenädal,1,0,0,0
124,tantsumaraton,1,0,0,0
125,rahvusooper,1,0,0,0
126,luurekeskus,1,0,0,0
127,järvesuu,0,1,0,0
128,KHK,0,0,0,1
129,kambja,0,1,0,0
130,kontsaklõbin,1,0,0,0
131,jane,1,0,0,0
132,Laenutuspunkt,0,1,0,0
133,sisemaa,0,1,0,0
134,Toronto,0,1,0,0
135,ciel,0,0,0,1
136,Bråtveiti,1,0,0,0
137,talvepäev,1,0,0,0
138,küün,0,1,0,0
139,randmeoperatsioon,1,0,0,0
140,padaja,0,0,0,1
141,Saksa,1,0,0,0
142,näitlejatee,1,0,0,0
143,Surfer,1,0,0,0
144,motoüritus,1,0,0,0
145,meka,0,1,0,0
146,kahin,1,0,0,0
147,rahvuslikkus,1,0,0,0
148,Smuuli,0,1,0,0
149,vägivallaähvardus,1,0,0,0
150,protestimarss,1,0,0,0
151,60C,0,0,0,1
152,Leida,0,1,0,0
153,väljaõpe,1,0,0,0
154,estraadistuudio,1,0,0,0
155,lossikirik,0,1,0,0
156,lootusetus,1,0,0,0
157,olümpiahooaeg,1,0,0,0
158,Ehlvest,1,0,0,0
159,meditsiiniringkond,1,0,0,0
160,jääliustik,0,1,0,0
161,Halonen,1,0,0,0
162,kitsus,1,0,0,0
163,noorsoolikas,1,0,0,0
164,banaanivabariik,0,1,0,0
165,slaidiprojektor,0,1,0,0
166,Kozlov,1,0,0,0
167,estraadilava,0,1,0,0
168,jkodu,0,0,0,1
169,superseksikas,1,0,0,0
170,anatoomikum,0,1,0,0
171,semiootika,1,0,0,0
172,vuuk,0,1,0,0
173,presidendiaeg,1,0,0,0
174,tänavakivi,0,1,0,0
175,nyd,0,0,0,1
176,omavalitsusvalimine,1,0,0,0
177,konfliktikolle,1,0,0,0
178,metallilagu,1,0,0,0
179,elektrienergeetika,1,0,0,0
180,neitsi,1,0,0,0
181,jalakäijasild,0,1,0,0
182,tööriistatera,0,1,0,0
183,patarei,0,1,0,0
184,teave,1,0,0,0
185,mardipäev,1,0,0,0
186,saateansambel,1,0,0,0
187,äärejoon,0,1,0,0
188,paadinina,0,1,0,0
189,Lublino,0,1,0,0
190,turvaraja,0,0,0,1
191,vannitoauks,0,1,0,0
192,MTÜ,1,0,0,0
193,laevavrakk,0,1,0,0
194,kanada,0,1,0,0
195,A-kategooria,1,0,0,0
196,talasso,0,0,0,1
197,Ristna,0,1,0,0
198,maapind,0,1,0,0
199,eraelu,1,0,0,0
200,taliolümpia,1,0,0,0
201,peksmine,1,0,0,0
202,uks,0,1,0,0
203,surnuaiavõte,1,0,0,0
204,Novatourss,0,0,0,1
205,em,1,0,0,0
206,söögikoht,0,1,0,0
207,laulukool,0,1,0,0
208,allikas,0,1,0,0
209,kiirendamine,1,0,0,0
210,tagasistumine,0,0,0,1
211,Oslo,0,1,0,0
212,äratõukepakk,0,1,0,0
213,kontoriruum,0,1,0,0
214,komsomoli-koosolek,1,0,0,0
215,psühhoteraapia,1,0,0,0
216,tõusuund,1,0,0,0
217,Kristiine,0,1,0,0
218,hõimurahvas,1,0,0,0
219,pere,1,0,0,0
220,sõja-aasta,1,0,0,0
221,escape,0,0,0,1
222,tootmishoone,0,1,0,0
223,õppepolk,0,0,0,1
224,vms,1,0,0,0
225,kriisitendents,1,0,0,0
226,vanglakamber,0,1,0,0
227,püsitöö,1,0,0,0
228,Surnumeri,0,1,0,0
229,kehava,1,0,0,0
230,tehnikaülikool,0,0,1,0
231,vahetusmeestepink,0,1,0,0
232,raatus,0,1,0,0
233,vändra,0,1,0,0
234,Taimõr,0,1,0,0
235,Donetsk,0,1,0,0
236,Rhodose,0,1,0,0
237,rambivalgus,1,0,0,0
238,intiimsuhe,1,0,0,0
239,võrkpallur,1,0,0,0
240,linnamisjon,1,0,0,0
241,olukord,1,0,0,0
242,keemialabor,0,1,0,0
243,primary,0,0,0,1
244,kuut,0,1,0,0
245,kergejõustiklane,1,0,0,0
246,dollari-korrespondentkonto,1,0,0,0
247,Ameerika-turnee,1,0,0,0
248,Haider,1,0,0,0
249,novembris-detsember,1,0,0,0
250,sektsioon,1,0,0,0
251,teatrikirjatsura,0,0,0,1
252,erikool,0,0,1,0
253,millea,0,0,0,1
254,põllumajandusülikool,0,0,1,0
255,Sci-Fi,0,0,0,1
256,suusapäev,1,0,0,0
257,Peterhofi,0,1,0,0
258,sõidukirool,0,1,0,0
259,pühapäeval-esmaspäev,1,0,0,0
260,Pala,1,0,0,0
261,kodustaadion,0,1,0,0
262,Tashkent,0,1,0,0
263,battle,0,0,0,1
264,tardumus,1,0,0,0
265,naftariik,0,1,0,0
266,Aleksanderplats,0,1,0,0
267,reisibüroo,0,0,1,0
268,polikliinik,0,1,0,0
269,motodoktor,1,0,0,0
270,taandumine,1,0,0,0
271,kõrvalkabiin,0,1,0,0
272,lemmikloomapood,0,1,0,0
273,jooksulint,0,1,0,0
274,kinnisvaraotsing,1,0,0,0
275,veerandfinaalgrupp,1,0,0,0
276,megailu,1,0,0,0
277,kodakondsuseksam,1,0,0,0
278,karistusseadustik,1,0,0,0
279,võidutee,1,0,0,0
280,püssirohu-tünn,0,1,0,0
281,BBV,0,0,0,1
282,olümpiapoodium,0,1,0,0
283,põhiklass,0,1,0,0
284,Ju,1,0,0,0
285,FS,0,0,0,1
286,lasteaeg,1,0,0,0
287,habemik,1,0,0,0
288,politseiparkla,0,1,0,0
289,linnavaraamet,1,0,0,0
290,riigieksam,1,0,0,0
291,klassiruum,0,1,0,0
292,trummel,0,1,0,0
293,lennusadam,0,1,0,0
294,löss,1,0,0,0
295,noortemaja,0,1,0,0
296,üleviimine,1,0,0,0
297,ehitusteaduskond,1,0,0,0
298,Lääne-Ukraina,0,1,0,0
299,akse,0,0,0,1
300,lastemängu-jaam,0,1,0,0
301,skeem,1,0,0,0
302,pära,1,0,0,0
303,Häädemeeste,0,1,0,0
304,Liivimaa,0,1,0,0
305,RAM,1,0,0,0
306,taanlane,1,0,0,0
307,teevabrik,0,1,0,0
308,C-sektor,0,0,0,1
309,pingutus,1,0,0,0
310,detsember,1,0,0,0
311,hariduskontseptsioon,1,0,0,0
312,ühistransport,0,1,0,0
313,Walther,1,0,0,0
314,ümbris,1,0,0,0
315,Wyonk,0,0,0,1
316,kooliharidus,1,0,0,0
317,joobeseisund,1,0,0,0
318,erifont,1,0,0,0
319,Ani,0,1,0,0
320,seaduseelnõu,1,0,0,0
321,põliskoht,0,1,0,0
322,mänguminut,1,0,0,0
323,seksiäri,1,0,0,0
324,stabilisaator,0,1,0,0
325,alkoholiravi,1,0,0,0
326,Fertilitas,0,1,0,0
327,osoonikiht,0,1,0,0
328,iluviga,1,0,0,0
329,sagin,1,0,0,0
330,f,0,0,0,1
331,Mexico,0,1,0,0
332,egiptus,0,1,0,0
333,vöörikamorka,0,0,0,1
334,mujalt-Eesti,0,0,0,1
335,formeeritav,1,0,0,0
336,peterburi,0,1,0,0
337,võistluskeskus,0,1,0,0
338,papi,1,0,0,0
339,põhja-osa,0,1,0,0
340,tugitool,0,1,0,0
341,Marlboro,1,0,0,0
342,jätkumine,1,0,0,0
343,peotantsuring,1,0,0,0
344,raviseanss,1,0,0,0
345,kanuumatk,1,0,0,0
346,vitt,1,0,0,0
347,Pallas,0,0,1,0
348,EADS,0,0,0,1
349,Frasureig,0,0,0,1
350,territoorumi,0,0,0,1
351,hommikukohv,0,1,0,0
352,hingevahe,1,0,0,0
353,isetegevusring,1,0,0,0
354,muulane,1,0,0,0
355,politseiandmed,1,0,0,0
356,Patarei,0,1,0,0
357,LP,1,0,0,0
358,jalgpallimuru,0,1,0,0
359,kontserdipilet,1,0,0,0
360,eskalaator,0,1,0,0
361,Denver,0,1,0,0
362,munakivi,0,1,0,0
363,Jäääära,0,0,0,1
364,mustmägi,0,1,0,0
365,Inturisti,1,0,0,0
366,3Dmark01SE,0,0,0,1
367,solidool,1,0,0,0
368,märgmõõtur,0,1,0,0
369,töölaud,0,1,0,0
370,maailmasõda,1,0,0,0
371,hoiatus,1,0,0,0
372,likvidaator,1,0,0,0
373,Zavodi,1,0,0,0
374,Vana-Kreeka,0,1,0,0
375,ravi,1,0,0,0
376,raudteejama,0,0,0,1
377,parteistaap,1,0,0,0
378,keskagentuur,1,0,0,0
379,maksuprobleem,1,0,0,0
380,vahepia,0,0,0,1
381,Holmenkollen,0,1,0,0
382,Guildfort,0,1,0,0
383,viimasepea,1,0,0,0
384,karaokeõhtu,1,0,0,0
385,omavoliline,1,0,0,0
386,Rate.ee,0,0,0,1
387,ainsamask,0,0,0,1
388,dennis,1,0,0,0
389,linnateater,0,1,0,0
390,koorijuhtimine,1,0,0,0
391,NIX,0,0,0,1
392,Bologna,0,1,0,0
393,Ero,1,0,0,0
394,vaevama,1,0,0,0
395,kontekst,1,0,0,0
396,sõjaväeosa,1,0,0,0
397,mäestik,0,1,0,0
398,sulatali,1,0,0,0
399,Tšehhi,0,1,0,0
400,turvamine,1,0,0,0
401,õppekülastus,1,0,0,0
402,Kristin,1,0,0,0
403,kindlustatu,1,0,0,0
404,rokk-kontsert,1,0,0,0
405,taktimõõt,1,0,0,0
406,elementaarkool,0,0,1,0
407,turnee,1,0,0,0
408,palgihunnik,0,1,0,0
409,suraka,1,0,0,0
410,vanus,1,0,0,0
411,eriõppus,1,0,0,0
412,Acapulco,0,1,0,0
413,dikteerimine,1,0,0,0
414,valitus,1,0,0,0
415,blizzconi,0,0,0,1
416,õppelaenupirukas,0,0,0,1
417,kontrollmäng,1,0,0,0
418,uuenemine,1,0,0,0
419,Siiri,1,0,0,0
420,taksofirma,1,0,0,0
421,kriisipiirkond,0,1,0,0
422,staap,1,0,0,0
423,Hiiumaa,0,1,0,0
424,jopestiil,1,0,0,0
425,isakodu,0,1,0,0
426,kiiljaht,0,1,0,0
427,takt,1,0,0,0
428,mäetipp,0,1,0,0
429,libedarada,0,1,0,0
430,veinipiirkond,0,1,0,0
431,Skopje,0,1,0,0
432,jaanik,1,0,0,0
433,juveelipood,0,1,0,0
434,baariretk,1,0,0,0
435,kõrgushüppepaik,0,1,0,0
436,pühapaik,0,1,0,0
437,päävitam,1,0,0,0
438,imavere,0,1,0,0
439,taasühinemiskõnelus,1,0,0,0
440,ispelli-sõnastik,1,0,0,0
441,Rovajärv,0,1,0,0
442,süüdistus,1,0,0,0
443,käekõrv,1,0,0,0
444,lahingutegevus,1,0,0,0
445,kuluaar,0,1,0,0
446,rkkk,0,0,0,1
447,olümpiafinaal,1,0,0,0
448,või,1,0,0,0
449,tekstiiliettevõte,1,0,0,0
450,loss,0,1,0,0
451,Kivilinn,0,1,0,0
452,Montenegro,0,1,0,0
453,Laura,1,0,0,0
454,trahvioht,1,0,0,0
455,asendamine,1,0,0,0
456,kuupind,0,1,0,0
457,xxx,0,0,0,1
458,kullo,0,0,1,0
459,oode,1,0,0,0
460,kombinesoon,1,0,0,0
461,lastehommik,1,0,0,0
462,nelipühikirik,0,1,0,0
463,Hiirelõks,0,1,0,0
464,rivaal,1,0,0,0
465,laristamine,1,0,0,0
466,win,0,0,0,1
467,priisaun,0,0,0,1
468,kontserdireis,1,0,0,0
469,haigla,0,1,0,0
470,pronksikoht,0,1,0,0
471,pöördtool,0,1,0,0
472,Macau,0,1,0,0
473,tagavedru,0,1,0,0
474,radiaator,0,1,0,0
475,välisväljak,0,1,0,0
476,korraldamine,1,0,0,0
477,omanikfirma,1,0,0,0
478,Herakleitos,1,0,0,0
479,Harri,1,0,0,0
480,Gilde,1,0,0,0
481,büst,0,1,0,0
482,padi,0,1,0,0
483,pensioniskeem,1,0,0,0
484,kuuldemäng,1,0,0,0
485,paadipära,0,1,0,0
486,relvastusinspektor,1,0,0,0
487,Põhja-Aafrika,0,1,0,0
488,kallaletung,1,0,0,0
489,aolinn,0,1,0,0
490,juunis-juuli,1,0,0,0
491,laskmistrenn,1,0,0,0
492,graafik,1,0,0,0
493,sõidurada,0,1,0,0
494,ooteruum,0,1,0,0
495,autonäitus,1,0,0,0
496,ovaalsaal,0,1,0,0
497,softivahetus,1,0,0,0
498,Elbrus,0,1,0,0
499,dj,1,0,0,0
500,energiasüsteem,1,0,0,0
501,liuväli
502,J
503,hankija
504,maahaigla
505,kettaheitesektor
506,kolleeg
507,ASVEL
508,ootesaal
509,oasta
510,rada
511,veebiarutelu
512,Ines
513,külapood
514,Microlink
515,humanitaarklass
516,sõjaväeõppus
517,sentimeeter
518,armastus
519,kaifima
520,esmaba
521,rootsima
522,MM-küla
523,kolmene
524,rinnavähioperatsioon
525,kultuuriringkond
526,delegatsioon
527,kinganina
528,Belesta
529,füüsika
530,ajakiri
531,Elle
532,sprindiladvik
533,Priština
534,puupulk
535,korsett
536,eluülikool
537,norralane
538,müügilett
539,hobune
540,koidik
541,maailmameistrivõistlus
542,püksitsehh
543,kasutusvalm
544,Ravibuda
545,kohtukord
546,hetkemeeleolu
547,baasklubi
548,registreerimine
549,riigikorraldus
550,hiigelfirma
551,eurohoius
552,lamamistool
553,Abhaasia
554,alevikodanik
555,aidsikabinet
556,Peeteli
557,Invest
558,välisturnee
559,Vaivara
560,andma
561,aluspõhjakivim
562,sõdur
563,triibuvaip
564,abielusadam
565,Vaindloo
566,teadmishimu
567,verenäitaja
568,Miko
569,märkisperiood
570,kirikukoor
571,riigiorgan
572,lennuväli
573,kaupmeesterida
574,üksildus
575,kaasamine
576,buss
577,vaatma
578,ajalehekiosk
579,mõlem
580,eesnäärmeoperatsioon
581,uus-aastaöö
582,kää
583,jatkude
584,väljaelam
585,konventsioon
586,Illusioni
587,Ida-Virumaa
588,fail
589,vedelkristallekraan
590,siuke
591,pakkuv
592,1979.
593,metroorong
594,naistemaja
595,informaatika
596,ESKL
597,Konstantinoopol
598,lustisõit
599,superkiir
600,eelluure
601,vastaja
602,eeskava
603,juuraõping
604,tõld
605,bussiootepaviljon
606,Philadelphia
607,juhatajatool
608,vastuvisiit
609,platsipea
610,kapital
611,sõprusülikool
612,draamakool
613,rannik
614,lennuk
615,Kullamaa
616,otsa-koolma
617,BLRT
618,kurd
619,Solesmes
620,kultuurikeskus
621,luuleõhtu
622,test
623,kodu-ADSL
624,rägastik
625,jõululaupäev
626,majaümbrus
627,Telia
628,ülekandepult
629,maapiirkond
630,tagasirge
631,Peterhof
632,tsekkam
633,mardilaupäev
634,sl
635,solvatu
636,lõunavaheaeg
637,söögilaud
638,internetiportaal
639,võistlute
640,lossivare
641,OK
642,maksustamine
643,maailmaklass
644,naaberlinn
645,üksik-vahipataljon
646,ETK
647,laulasmaa
648,Granville
649,pallitreening
650,kinolina
651,lennufirma
652,eksemplar
653,büroomaja
654,üheg
655,diili
656,disko
657,eeluurimisvangla
658,kadriorg
659,taktika
660,eksamikomisjon
661,tantsumuru
662,Alexanderplatz
663,veterinaarkliinik
664,Araabia
665,riigiõiguskomisjon
666,geograafiatund
667,Tshetsheenia
668,Keila-Joa
669,tervishoid
670,dekoratiivsus
671,kooma
672,õllekamber
673,juubelimatsh
674,Saalomon
675,kõrvalmajake
676,köitmine
677,metsaserv
678,gibraltarlas
679,metallkeel
680,viimaty
681,jahiretk
682,piibel
683,lähedane
684,büroo
685,Rene
686,tolliterminal
687,erootikabaar
688,kunstiülikool
689,kannibalism
690,näidiskorter
691,Cosmoskva
692,Baltikum
693,silmakoobas
694,Ruisrock
695,vaheõhtu
696,võrkpallitreening
697,teadmine
698,geel
699,kanavabrik
700,piimatootmisfarm
701,ettevalmistusklass
702,relvajõud
703,stepper
704,Uural
705,vaevavesi
706,suuseksilembus
707,sünnihetk
708,kosi
709,tsiviilriietus
710,majatagune
711,juubelipeo
712,veetsikkel
713,9b
714,Kursk
715,punaarmee
716,pio
717,otstarbekus
718,Erik
719,tüü
720,parim
721,emaplaat
722,Sonera
723,tuletõrjuja
724,esmaspäev
725,ärikohtumine
726,välisklubi
727,telefonijaam
728,eemaldamisoperatsioon
729,sadamakõrts
730,keelumärk
731,aknapea
732,naaberkohvik
733,uurimismatk
734,põhivara
735,jääpõks
736,USD/oz
737,Lõuna-Vene
738,masinakirjutamine
739,juubelihommik
740,koolibri
741,puhastamine
742,tantsukursus
743,tollikokkulepe
744,balletitund
745,eufemism
746,linux
747,uudishimu
748,riviväljak
749,peoloom
750,Attlanttis
751,linnatöö
752,auhinnavõistlus
753,eraldamine
754,nullkursus
755,massaazhilaud
756,kokk
757,üldarv
758,autotöökoda
759,mäeküla
760,tg
761,ainus
762,keskkonnaharidusprojekt
763,äriilm
764,hiliskevad
765,pornoteatriring
766,Andorra
767,Adžaaria
768,kõva
769,Birdlant
770,alagrupp
771,koreograafiakool
772,noorusmaa
773,stuudio
774,rakend
775,rakett
776,kõrvalsaal
777,viirusekandja
778,taasühendamine
779,lint
780,hdd
781,võlaõigus
782,põlevkivi
783,parteikaaslane
784,hingedeaeg
785,infradimensioon
786,korrespondents
787,maalinäitus
788,hoiu-laenuühistu
789,demonstratsioon-esinemine
790,saladus
791,Kuopio
792,kogu
793,reegel
794,parkla
795,pressiball
796,tapmisöö
797,hingedepäev
798,konkurent
799,eriosakond
800,Mendelson
801,Octoberfest
802,abiraha
803,Lääne
804,tootmisüksus
805,tippkorvpall
806,nädalalõpuöö
807,antiigipood
808,leegionär
809,Kesk-Eest
810,kõrvaluks
811,tampere
812,kooliõpilane
813,Ameerika
814,segasaun
815,bussiturg
816,Poliitika
817,madallend
818,politseiamet
819,Hockenheimi
820,juuresolek
821,Ramador
822,Controvento
823,Sitsiilia
824,augustipäev
825,kohtutäitur
826,põnts
827,riiulifirma
828,kasutuselevõtt
829,prouata
830,harjutusväljak
831,Kauksi
832,lastekunstikool
833,käsipallur
834,n2ha
835,üldpõhimõte
836,München
837,uurimine
838,linnujaht
839,w
840,keemiahoone
841,talupere
842,kütuseäri
843,maa-amet
844,Amburi
845,ettevõtlus
846,rastafaar
847,Kaim
848,moe-show
849,summ
850,jõudsam
851,pesapaik
852,müügikoht
853,traataed
854,põra
855,Goethe
856,Andidžan
857,Mosul
858,Tennessee
859,sõbrants
860,parlamendisaal
861,asemenurk
862,intervjuuala
863,Põlvamaa
864,databas
865,parti
866,sünnitusmaja
867,uneuuring
868,trafic.pri.ee
869,teenusepakkuja
870,Starman
871,plats
872,staadionikatel
873,keskpiimaühistu
874,cruell
875,bluus
876,argirutt
877,daamisadul
878,laiskus
879,ultimaatum
880,piparkook
881,mängjate
882,spoon
883,kellevahe
884,kaugus
885,info-auto
886,mõjutus
887,pauk
888,laevalagi
889,ateljeeruum
890,Vista
891,autokabiin
892,kinoekraan
893,Bounty-laev
894,rasedusstaadium
895,purskkaevuvesi
896,sotsiaaldemokraat
897,vaatajatool
898,kultuurileht
899,algusosa
900,Valeri
901,narkojoove
902,automuusikameistrivõistlus
903,aroomiõli
904,Põltsamaa
905,Miiduranna
906,videoklipp
907,automaatjaam
908,lsea
909,rahvavabariik
910,hüpnoosiseanss
911,SÜGI
912,suur
913,vint
914,kreml
915,loodevool
916,roosa
917,purjetamistrenn
918,järjestamine
919,lomp
920,kirjandusreis
921,looduskaitseühistu
922,šaht
923,nõupidamissaal
924,flexeri
925,omavalitsusliit
926,ninaoperatsioon
927,perifeeria
928,prügimajandus
929,aadressbüroo
930,mürsk
931,naftakogumiskeskus
932,öölokaal
933,vabatahtlik
934,David
935,500km
936,tydrukfantaasia
937,kubemeoperatsioon
938,summer
939,taevalava
940,sokk
941,stardipukk
942,elukas
943,vastumeelsus
944,MegaHa
945,põhiseadus
946,õllemeister
947,talvekorter
948,siimkabel
949,struumadispanser
950,frakk
951,taevavõlv
952,degusteerimistuba
953,tööhõiveamet
954,eliit
955,murumütsike
956,rahaveomarsruut
957,virguma
958,burnus
959,õhutõrjerakett
960,lühiromaan
961,ratsaspordibaas
962,Sven
963,joogakursus
964,föderatsioon
965,kõmak
966,Lõuna-Ameerika
967,Putin
968,lõpetamine
969,jalaoperatsioon
970,liftiavariimees
971,eravärv
972,ostuteema
973,Konguta
974,kolu
975,võimuperiood
976,põhjanaaber
977,kuur
978,voli
979,karistusvangimaja
980,kõrtsiomanik
981,lõunakeskus
982,nädalalõpp
983,keeltekool
984,Õ-fraktsioon
985,tavarühm
986,betoonääris
987,sõrmeliigutus
988,suusarada
989,abiellumine
990,asendusoperatsioon
991,papp
992,ratsutamistund
993,rahvasuu
994,RTI
995,terviseuuring
996,hommikueine
997,süldikatel
998,emt
999,harukogu
